timestamp,cpu_usage,memory_usage
1720982507.0348709,92.3,63.6
1720982508.03622,76.7,63.7
1720982509.0381074,81.3,63.7
1720982510.039622,71.4,63.7
1720982511.0412729,74.4,63.8
1720982512.0442348,72.6,63.8
1720982513.046216,70.8,64.0
1720982514.0490623,79.6,64.0
1720982515.0510051,70.3,63.9
1720982516.0522308,71.9,64.0
